Barcode,Site,Pile/BiologicalRep,Month,pH,GWC (g/mL),NH4 (mg/kg),NO3 (mg/kg),TOC (mg/kg),TN (mg/kg),CO2,Fire
Apr_Chapparal_1,Chapparal,1,Apr,8.85,9.711,12.62328333,2.668583333,298.973,20.2593,NA,Post-Fire
Apr_Chapparal_2,Chapparal,2,Apr,8.37,8.5694,64.75990722,3.150416434,312.233,35.3003,NA,Post-Fire
Apr_Chapparal_3,Chapparal,3,Apr,8.33,10.0588,71.29180951,1.289303194,481.103,53.2143,NA,Post-Fire
Apr_Chapparal_4,Chapparal,4,Apr,8.32,10.047,59.1221,0.681233333,175.733,22.8463,NA,Post-Fire
Apr_Chapparal_5,Chapparal,5,Apr,8.32,10.3124,69.99236667,1.298383333,453.413,49.2493,NA,Post-Fire
Apr_Chapparal_6,Chapparal,6,Apr,8.33,7.7986,66.72901989,2.007980672,1055.573,98.1943,6.33301,Post-Fire
Apr_Chapparal_7,Chapparal,7,Apr,8.14,10.4066,128.9460333,1.922416667,977.573,91.6423,1.65683,Post-Fire
Apr_Chapparal_8,Chapparal,8,Apr,8.35,10.0392,66.7024,3.7493,827.943,101.3793,NA,Post-Fire
Apr_Chapparal_9,Chapparal,9,Apr,8.47,10.115,28.66226164,3.577361045,501.383,54.4883,NA,Post-Fire
Apr_Chapparal_10,Chapparal,10,Apr,7.89,10.0808,105.5561969,5.626813806,NA,NA,NA,Post-Fire
Apr_Oak_Woodland_1,Oak_Woodland,1,Apr,8.9,8.2558,44.12163333,0.420533333,1244.803333,92.14726667,6.21548,Post-Fire
Apr_Oak_Woodland_2,Oak_Woodland,2,Apr,8.68,10.2008,29.6479,0.252716667,2484.327,115.6902667,NA,Post-Fire
Apr_Oak_Woodland_3,Oak_Woodland,3,Apr,9.55,10.2738,23.19701667,0.229783333,1682.227,68.52626667,NA,Post-Fire
Apr_Oak_Woodland_4,Oak_Woodland,4,Apr,9.67,9.952,43.01135,0.2435,1418.327,79.74526667,3.05639,Post-Fire
Apr_Oak_Woodland_6,Oak_Woodland,6,Apr,9.15,10.4432,91.80028333,0.312316667,1057.317,105.7322667,NA,Post-Fire
Apr_Oak_Woodland_7,Oak_Woodland,7,Apr,10.1,10.0728,23.36635,1.083866667,646.257,35.83126667,NA,Post-Fire
Apr_Oak_Woodland_8,Oak_Woodland,8,Apr,8.52,10.1826,11.27673333,1.4803,1010.257,33.04926667,NA,Post-Fire
Apr_Oak_Woodland_9,Oak_Woodland,9,Apr,9.95,10.2158,58.92665,0.679266667,1044.317,70.30726667,2.11104,Post-Fire
Apr_Oak_Woodland_10,Oak_Woodland,10,Apr,9.06,10.0592,11.32215,0.9785,963.977,34.55726667,NA,Post-Fire
Jul_Chapparal_1,Chapparal,1,Jul,7.8,1.94,12.30098501,25.65276293,287.873,22.08,NA,Post-Fire
Jul_Chapparal_2,Chapparal,2,Jul,7.65,2.55,39.35939029,9.129272289,355.603,42.997,NA,Post-Fire
Jul_Chapparal_3,Chapparal,3,Jul,8.51,2.42,43.94483333,7.0208,419.953,43.933,0,Post-Fire
Jul_Chapparal_4,Chapparal,4,Jul,7.59,1.74,55.52625319,5.230073087,190.373,22.873,NA,Post-Fire
Jul_Chapparal_5,Chapparal,5,Jul,8.22,2.14,11.02958762,5.883200566,482.743,53.54,NA,Post-Fire
Jul_Chapparal_6,Chapparal,6,Jul,8.23,3.09,47.05682417,71.16833327,1036.673,98.806,0,Post-Fire
Jul_Chapparal_7,Chapparal,7,Jul,8.06,2.07,142.4379094,16.18859178,709.203,84.532,0,Post-Fire
Jul_Chapparal_8,Chapparal,8,Jul,7.88,2.42,76.23256667,40.95081667,614.173,64.46,NA,Post-Fire
Jul_Chapparal_9,Chapparal,9,Jul,8.95,2.27,22.45798333,19.23733333,376.793,32.805,NA,Post-Fire
Jul_Chapparal_10,Chapparal,10,Jul,8.16,3.13,74.19355,12.38276667,508.873,66.982,NA,Post-Fire
Jul_Oak_Woodland_1,Oak_Woodland,1,Jul,8.9,4.66,19.86701667,30.06398333,870.143,89.50826667,0,Post-Fire
Jul_Oak_Woodland_2,Oak_Woodland,2,Jul,9.67,4.18,57.65108333,1.601333333,794.483,104.7442667,NA,Post-Fire
Jul_Oak_Woodland_3,Oak_Woodland,3,Jul,9.23,3.09,31.8137,1.800983333,1945.373,90.66526667,NA,Post-Fire
Jul_Oak_Woodland_4,Oak_Woodland,4,Jul,8.53,3.97,41.25381667,24.81291667,1928.473,112.1412667,0,Post-Fire
Jul_Oak_Woodland_6,Oak_Woodland,6,Jul,8.51,1.02,143.81375,1.726566667,1381.173,154.6772667,NA,Post-Fire
Jul_Oak_Woodland_7,Oak_Woodland,7,Jul,10.41,1.14,27.39483333,4.2167,638.483,53.38126667,NA,Post-Fire
Jul_Oak_Woodland_8,Oak_Woodland,8,Jul,9.58,1.82,13.9811,2.00245,719.603,40.87526667,NA,Post-Fire
Jul_Oak_Woodland_9,Oak_Woodland,9,Jul,8.77,1.99,34.04523333,23.78383333,1139.763,92.70626667,0,Post-Fire
Jul_Oak_Woodland_10,Oak_Woodland,10,Jul,8.64,2.06,18.19401667,14.37308333,723.243,50.09226667,NA,Post-Fire
Nov_Chapparal_1,Chapparal,1,Nov,7.97,7.38,40.69656667,7.398833333,717.1523667,54.00546667,NA,Post-Fire
Nov_Chapparal_2,Chapparal,2,Nov,8.65,14.88,101.13805,2.8568,320.5223667,37.89846667,NA,Post-Fire
Nov_Chapparal_3,Chapparal,3,Nov,8.04,11.93,31.80353333,10.6913,628.4923667,45.86746667,1.90421,Post-Fire
Nov_Chapparal_4,Chapparal,4,Nov,8.34,22.28,39.5154,6.4058,687.7723667,27.68046667,NA,Post-Fire
Nov_Chapparal_5,Chapparal,5,Nov,8.74,45.13,24.32911667,7.453166667,790.2123667,34.41446667,NA,Post-Fire
Nov_Chapparal_6,Chapparal,6,Nov,8.33,35.76,48.2079,49.36568333,866.9123667,100.4934667,1.57818,Post-Fire
Nov_Chapparal_7,Chapparal,7,Nov,8.26,26.12,133.69245,10.36495,1196.982367,125.7394667,2.24009,Post-Fire
Nov_Chapparal_8,Chapparal,8,Nov,8.01,11.77,89.44801667,10.41508333,618.0923667,77.39246667,NA,Post-Fire
Nov_Chapparal_9,Chapparal,9,Nov,8.46,22.26,43.22445,12.87156667,469.7623667,48.71446667,NA,Post-Fire
Nov_Chapparal_10,Chapparal,10,Nov,7.99,20.85,92.4357,15.31355,476.3923667,64.43146667,NA,Post-Fire
Nov_Oak_Woodland_1,Oak_Woodland,1,Nov,7.95,24.48,16.57586667,21.15483333,706.2323667,69.68346667,3.80862,Post-Fire
Nov_Oak_Woodland_2,Oak_Woodland,2,Nov,8.2,24.58,43.85633333,9.829483333,1770.542367,133.7344667,NA,Post-Fire
Nov_Oak_Woodland_3,Oak_Woodland,3,Nov,9.2,23.77,16.91318333,22.18035,719.2323667,70.90546667,NA,Post-Fire
Nov_Oak_Woodland_4,Oak_Woodland,4,Nov,7.8,18.13,32.76095,19.584,762.9123667,66.45946667,2.50027,Post-Fire
Nov_Oak_Woodland_6,Oak_Woodland,6,Nov,8.5,26.56,80.90671667,14.50055,870.8123667,101.3254667,NA,Post-Fire
Nov_Oak_Woodland_7,Oak_Woodland,7,Nov,9,5.69,24.29221667,3.247666667,425.6923667,41.62946667,NA,Post-Fire
Nov_Oak_Woodland_8,Oak_Woodland,8,Nov,8.23,4.65,14.9094,1.683066667,513.3123667,40.26446667,NA,Post-Fire
Nov_Oak_Woodland_9,Oak_Woodland,9,Nov,6.68,10.87,4.993866667,2.47425,326.2423667,20.01046667,0.89858,Post-Fire
Nov_Oak_Woodland_10,Oak_Woodland,10,Nov,8.35,8.33,16.14413333,6.3473,395.2723667,24.88546667,NA,Post-Fire
Jan_Chapparal_1,Chapparal,1,Jan,8.02,11.13,34.06077066,9.705725482,529.588,49.3923,NA,Post-Fire
Jan_Chapparal_2,Chapparal,2,Jan,8.36,14.09,66.93661208,9.460214604,144.138,32.3753,NA,Post-Fire
Jan_Chapparal_3,Chapparal,3,Jan,7.9,23.03,48.18786667,11.5031,2268.858,52.3953,0.66951,Post-Fire
Jan_Chapparal_4,Chapparal,4,Jan,7.66,17.55,122.0407333,2.1849,359.288,61.3523,NA,Post-Fire
Jan_Chapparal_5,Chapparal,5,Jan,7.91,15.3,79.62026667,2.691433333,417.398,55.1643,NA,Post-Fire
Jan_Chapparal_6,Chapparal,6,Jan,7.78,31.15,78.12565,13.314,641.518,79.0453,4.01449,Post-Fire
Jan_Chapparal_7,Chapparal,7,Jan,7.97,25.48,69.38462152,30.93605725,274.268,59.0253,2.4518,Post-Fire
Jan_Chapparal_8,Chapparal,8,Jan,7.76,25.48,92.17451667,41.49421667,386.588,86.2733,NA,Post-Fire
Jan_Chapparal_9,Chapparal,9,Jan,8.5,26.2,27.2474022,25.85876048,335.498,42.5153,NA,Post-Fire
Jan_Chapparal_10,Chapparal,10,Jan,8.16,17,114.8077167,12.02218333,400.498,62.9643,NA,Post-Fire
Jan_Oak_Woodland_1,Oak_Woodland,1,Jan,7.61,16.58,58.13696667,127.7718833,1047.437667,208.2173667,6.28188,Post-Fire
Jan_Oak_Woodland_2,Oak_Woodland,2,Jan,8.3,19.54,4.077883333,53.72563333,428.7676667,70.72936667,NA,Post-Fire
Jan_Oak_Woodland_3,Oak_Woodland,3,Jan,8.65,23.88,6.47675,187.2607167,616.2276667,219.5273667,NA,Post-Fire
Jan_Oak_Woodland_4,Oak_Woodland,4,Jan,8.12,17.25,3.859933333,68.5235,315.1476667,72.17236667,2.62971,Post-Fire
Jan_Oak_Woodland_6,Oak_Woodland,6,Jan,8.05,11.86,18.94156667,319.2360167,947.5976667,359.2773667,NA,Post-Fire
Jan_Oak_Woodland_7,Oak_Woodland,7,Jan,8.47,3.53,6.1631,16.72325,308.5176667,28.27136667,NA,Post-Fire
Jan_Oak_Woodland_8,Oak_Woodland,8,Jan,8.16,3.28,14.77188333,5.039116667,674.3376667,27.03636667,NA,Post-Fire
Jan_Oak_Woodland_9,Oak_Woodland,9,Jan,8.63,3.4,9.201666667,8.9885,385.0876667,28.50536667,2.53496,Post-Fire
Jan_Oak_Woodland_10,Oak_Woodland,10,Jan,8.36,7.79,18.58253333,6.26865,633.5176667,21.09536667,NA,Post-Fire
Mar_25_Chapparal_1,Chapparal,1,Mar_25,8.25,33.4,25.90175662,19.53012911,270.813,47.1854,NA,Post-Fire
Mar_25_Chapparal_2,Chapparal,2,Mar_25,7.68,22.13,52.11161667,14.46806667,495.843,64.1504,NA,Post-Fire
Mar_25_Chapparal_3,Chapparal,3,Mar_25,8.2,29.29,5.01725,32.14436667,92.115,26.5154,NA,Post-Fire
Mar_25_Chapparal_4,Chapparal,4,Mar_25,8.18,31.1,63.13133001,22.31034138,153.683,42.1674,NA,Post-Fire
Mar_25_Chapparal_5,Chapparal,5,Mar_25,8.06,91.38,12.84425,47.22751667,151.733,45.4824,NA,Post-Fire
Mar_25_Chapparal_6,Chapparal,6,Mar_25,8.01,50.95,8.43975,46.90578333,273.413,65.0734,NA,Post-Fire
Mar_25_Chapparal_7,Chapparal,7,Mar_25,7.63,41.58,12.76615,83.48246667,267.303,101.8894,3.77283,Post-Fire
Mar_25_Chapparal_8,Chapparal,8,Mar_25,7.72,35.15,33.74075,80.11343333,362.073,109.6634,NA,Post-Fire
Mar_25_Chapparal_9,Chapparal,9,Mar_25,8.08,30.26,4.952566667,80.1684,177.083,77.5924,NA,Post-Fire
Mar_25_Chapparal_10,Chapparal,10,Mar_25,7.8,34.25,28.1755,77.94878333,330.093,93.2704,NA,Post-Fire
Mar_25_Oak_Woodland_1,Oak_Woodland,1,Mar_25,8.09,27.03,3.37235,91.0726,242.553,101.8733,0,Post-Fire
Mar_25_Oak_Woodland_2,Oak_Woodland,2,Mar_25,8.34,26.64,3.867333333,109.5725167,300.403,124.7403,NA,Post-Fire
Mar_25_Oak_Woodland_3,Oak_Woodland,3,Mar_25,8.54,28.95,3.974316667,127.57565,281.033,131.2013,NA,Post-Fire
Mar_25_Oak_Woodland_4,Oak_Woodland,4,Mar_25,8.31,24.11,2.383616667,59.83385,272.973,63.2373,3.71733,Post-Fire
Mar_25_Oak_Woodland_6,Oak_Woodland,6,Mar_25,6.36,38.77,5.3321,308.28555,249.963,372.3513,NA,Post-Fire
Mar_25_Oak_Woodland_7,Oak_Woodland,7,Mar_25,8.14,2.32,16.12788333,16.8263,216.943,34.8713,NA,Post-Fire
Mar_25_Oak_Woodland_8,Oak_Woodland,8,Mar_25,8.18,3.23,4.2605,0.84855,484.483,17.0483,NA,Post-Fire
Mar_25_Oak_Woodland_9,Oak_Woodland,9,Mar_25,8.29,2.19,5.794716667,2.392116667,163.383,15.3973,6.34414,Post-Fire
Mar_25_Oak_Woodland_10,Oak_Woodland,10,Mar_25,8.29,2.36,5.711933333,4.220366667,226.953,14.8383,NA,Post-Fire
